Time	4crsol	5drib	amob	dalua	5mtr	ala	asp	cobalt	cu2	fe3	glc	glu	gly	h2o2	his	ile	leu	lys	met	mobd	nh4	ni2	phe	pro	pyr	ser	succ	thr	tyr	urea	val	tnf
2.5	0.0001431443	0.0015169429	0.000248464	0.000038271	0.0009934692	1.0206267014	1.5700545617	999.9999610147	999.9999799419	999.9126664153	55.1056175127	3.4337590998	0.6856473501	0.6035112151	0.39945636	0.5476646354	1.4927618483	0.7971394201	0.3979953655	999.9998917043	45.2546399167	999.9999908638	0.5985922632	1.9945294764	0.3840028918	0.8589846849	8.61534220139224E-07	0.4854516469	0.3993665873	1.11463304927307E-05	1.3557201664	0.00001751
2.5833333333	0.0001478558	0.0015668721	0.0002566421	3.95306835373825E-05	0.0010261686	1.0218999244	1.5689632277	999.9999597316	999.9999792817	999.9126664153	55.0903388364	3.431358165	0.6849197941	0.6035112151	0.3994509033	0.5476035207	1.4925621341	0.7970675739	0.3979407988	999.9998881398	45.2491902738	999.999990563	0.5985649798	1.9944080109	0.3988268457	0.8577114619	8.61534220139224E-07	0.4881799819	0.3993584023	1.11463304927307E-05	1.3556612343	1.81757010087352E-05
2.6666666667	0.0001525018	0.0016161074	0.0002647064	4.07728435101901E-05	0.0010584136	1.023212939	1.5678639597	999.9999584662	999.9999786307	999.9126664153	55.0749490842	3.4289397753	0.6844312305	0.6035112151	0.399445407	0.5475419617	1.4923609681	0.7969950528	0.3978858354	999.9998846249	45.243366499	999.9999902665	0.5985374981	1.9942856624	0.4137738371	0.8565816586	8.61534220139224E-07	0.4910197576	0.3993501578	1.11463304927307E-05	1.3556018738	1.88462544949141E-05
2.75	0.0001570805	0.0016646285	0.0002726538	0.000041997	0.0010901908	1.0245660437	1.566756874	999.9999572192	999.9999779891	999.9126664153	55.059449885	3.4265041869	0.6841852115	0.6035112151	0.3994398716	0.5474799649	1.4921583714	0.7969218621	0.3978304811	999.9998811609	45.2371644153	999.9999899743	0.598509821	1.9941624437	0.4288425029	0.8555975825	8.61534220139224E-07	0.493971986	0.3993418546	1.11463304927307E-05	1.3555420912	1.95215767443465E-05
2.8333333333	0.0001615876	0.0017123922	0.0002804772	0.000043202	0.0011214719	1.0259595163	1.5656420959	999.9999559917	999.9999773576	999.9126664153	55.0438429922	3.4240516752	0.6841852115	0.6035112151	0.3994342977	0.5474175373	1.491954367	0.7968480081	0.3977747422	999.9998777511	45.2305839892	999.9999896866	0.5984819515	1.9940383689	0.444031354	0.854761499	8.61534220139224E-07	0.4970376257	0.3993334938	1.11463304927307E-05	1.3554818932	2.02015913624112E-05
2.9166666667	0.0001660187	0.00175935	0.0002881685	4.43867162820866E-05	0.0011522253	1.0273936135	1.564519759	999.9999547849	999.9999767367	999.9126664153	55.0281302749	3.4215825339	0.6844346197	0.6035112151	0.399428686	0.5473546864	1.4917489794	0.7967734974	0.3977186253	999.9998743987	45.2236262503	999.9999894038	0.5984538931	1.9939134528	0.459338783	0.8540756264	8.61534220139224E-07	0.5002175804	0.3993250762	1.11463304927307E-05	1.355421287	2.08862169012651E-05
3	0.0001703719	0.0018054812	0.0002957245	4.55505633622797E-05	0.0011824374	1.0288685794	1.5633899978	999.9999535993	999.9999761267	999.9126664153	55.0123136186	3.4190970593	0.6849367357	0.6035112151	0.3994230372	0.5472914198	1.4915422331	0.7966983369	0.3976621373	999.9998711054	45.2162875922	999.999989126	0.5984256491	1.9937877104	0.4747631611	0.853542128	8.61534220139224E-07	0.5035127171	0.399316603	1.11463304927307E-05	1.3553602799	2.15753712110341E-05
3.0833333333	0.000174645	0.0018507655	0.0003031417	0.000046693	0.0012120947	1.0303846426	1.5622529505	999.9999524355	999.9999755279	999.9126664153	54.9963949555	3.4165955551	0.6856947673	0.6035112151	0.399417352	0.5472277452	1.4913341534	0.7966225337	0.3976052849	999.9998678725	45.2085645508	999.9999888532	0.5983972229	1.993661157	0.4903028084	0.8531631123	8.61534220139224E-07	0.5069238592	0.3993080752	1.11463304927307E-05	1.3552988793	0.000022269
3.1666666667	0.0001788364	0.0018951826	0.0003104169	4.78136417266E-05	0.0012411841	1.0319420154	1.5611087582	999.999951294	999.9999749406	999.9126664153	54.9803762639	3.4140783322	0.6867118271	0.6035112151	0.399411631	0.5471636704	1.4911247662	0.7965460953	0.3975480753	999.9998647015	45.200453808	999.9999885857	0.5983686181	1.9935338084	0.5059559941	0.8529406304	8.61534220139224E-07	0.5104517853	0.3992994937	1.11463304927307E-05	1.355237093	2.29669273786455E-05
3.25	0.0001829441	0.0019387126	0.0003175468	4.89118637591699E-05	0.0012696926	1.033540894	1.5599575656	999.9999501753	999.999974365	999.9126664153	54.9642595677	3.4115457085	0.68799093	0.6035112151	0.399405875	0.5470992036	1.490914098	0.7964690294	0.3974905157	999.9998615939	45.1919521955	999.9999883235	0.5983398383	1.9934056807	0.5217209371	0.8528766753	8.61534220139224E-07	0.5140972285	0.3992908598	1.11463304927307E-05	1.3551749286	2.36691548582039E-05
